"SP","SPECIES","SRANK","COSEWIC","COSEWIC.date","Notes"
"HP","harbour.porpoise","S3","SC","3-Nov",""
"DP","dalls.porpoise","S4S5","NAR","May-89",""
"PW","white.sided.dolphin","S4S5","NAR","May-90",""
"KW","killer.whale","S3","T","8-Nov","TODO: separate into populations: offshore, transients, southern residents, northern residents"
"HW","humpback","S3","T","3-May",""
"FW","fin","S2","T","5-May","S2N - nonbreeding"
"MW","minke","S4","NAR","6-Apr","S4N - nonbreeding"
"HS","harbour.seal.total","S5","NAR","May-99",""
"SSL","steller.sea.lion.total","S2S3","","","S2S3B,S3N - breeding, nonbreeding"
"ES","elephant.seal","S4","","","really SNA, but CA and AL listed as S4"
