"package","*","version","date","source","github","force"
"DBI","*","0.3.1","2014-09-24","CRAN (R 3.1.1)",NA,FALSE
"MASS","*","7.3-40","2015-03-21","CRAN (R 3.1.3)",NA,FALSE
"Matrix","","1.2-0","2015-04-04","CRAN (R 3.1.3)",NA,FALSE
"R6","*","2.0.1","2014-10-29","CRAN (R 3.1.2)",NA,FALSE
"RColorBrewer","*","1.1-2","2014-12-07","CRAN (R 3.1.2)",NA,FALSE
"Rcpp","*","0.11.5","2015-03-06","CRAN (R 3.1.3)",NA,FALSE
"RcppParallel","*","4.3.8","2015-04-14","CRAN (R 3.1.3)",NA,FALSE
"assertthat","*","0.1","2013-12-06","CRAN (R 3.1.0)",NA,FALSE
"base64enc","*","0.1-2","2014-06-26","CRAN (R 3.1.0)",NA,FALSE
"colorspace","*","1.2-6","2015-03-11","CRAN (R 3.1.3)",NA,FALSE
"devtools","*","1.7.0","2015-01-17","CRAN (R 3.1.2)",NA,FALSE
"digest","*","0.6.8","2014-12-31","CRAN (R 3.1.2)",NA,FALSE
"dplyr","","0.4.1","2015-01-14","CRAN (R 3.1.2)",NA,FALSE
"gdistance","","1.1-7","2015-03-11","CRAN (R 3.1.3)",NA,FALSE
"ggplot2","","1.0.1","2015-03-17","CRAN (R 3.1.3)",NA,FALSE
"gtable","*","0.1.2","2012-12-05","CRAN (R 3.1.0)",NA,FALSE
"htmlwidgets","*","0.4","2015-05-18","CRAN (R 3.1.3)",NA,FALSE
"httpuv","*","1.3.2","2014-10-23","CRAN (R 3.1.2)",NA,FALSE
"igraph","","0.7.1","2014-04-22","CRAN (R 3.1.2)",NA,FALSE
"jsonlite","*","0.9.16","2015-04-11","CRAN (R 3.1.3)",NA,FALSE
"labeling","*","0.3","2014-08-23","CRAN (R 3.1.1)",NA,FALSE
"lattice","*","0.20-31","2015-03-30","CRAN (R 3.1.3)",NA,FALSE
"lazyeval","*","0.1.10","2015-01-02","CRAN (R 3.1.2)",NA,FALSE
"magrittr","*","1.5","2014-11-22","CRAN (R 3.1.2)",NA,FALSE
"markdown","","0.7.7","2015-04-22","CRAN (R 3.1.3)",NA,FALSE
"mime","*","0.3","2015-03-29","CRAN (R 3.1.3)",NA,FALSE
"munsell","*","0.4.2","2013-07-11","CRAN (R 3.1.0)",NA,FALSE
"plyr","*","1.8.2","2015-04-21","CRAN (R 3.1.3)",NA,FALSE
"png","*","0.1-7","2013-12-03","CRAN (R 3.1.0)",NA,FALSE
"proto","*","0.3-10","2012-12-22","CRAN (R 3.1.0)",NA,FALSE
"raster","","2.3-40","2015-04-11","CRAN (R 3.1.3)",NA,FALSE
"readr","","0.1.1","2015-05-29","CRAN (R 3.1.3)",NA,FALSE
"reshape2","*","1.4.1","2014-12-06","CRAN (R 3.1.2)",NA,FALSE
"rgdal","","0.8-16","2014-02-07","CRAN (R 3.1.0)",NA,FALSE
"rstudioapi","*","0.3.1","2015-04-07","CRAN (R 3.1.3)",NA,FALSE
"shiny","","0.12.0","2015-05-18","CRAN (R 3.1.3)",NA,FALSE
"shinyjs","","0.0.6.2","2015-05-29","CRAN (R 3.1.3)",NA,FALSE
"sp","","1.0-17","2015-01-08","CRAN (R 3.1.2)",NA,FALSE
"stringi","*","0.4-1","2014-12-14","CRAN (R 3.1.2)",NA,FALSE
"stringr","","1.0.0","2015-04-30","CRAN (R 3.1.3)",NA,FALSE
"xtable","*","1.7-4","2014-09-12","CRAN (R 3.1.1)",NA,FALSE
"yaml","*","2.1.13","2014-06-12","CRAN (R 3.1.0)",NA,FALSE
"ggvis","","0.4.1.9000","2015-06-10","Github (rstudio/ggvis@d2a2a36)","rstudio/ggvis@d2a2a36",FALSE
"htmltools","","0.2.6","2014-09-18","Github (rstudio/htmltools@097ce08)","rstudio/htmltools@097ce08",FALSE
"scales","","0.2.4.99","2015-06-04","Github (hadley/scales@f0f93ac)","hadley/scales@f0f93ac",FALSE
"rasterfaster","","0.1","2015-05-28","Github (jcheng5/rasterfaster@7d00a09)","jcheng5/rasterfaster@7d00a09",FALSE
"leaflet","","0.0.16","2015-06-15","Github (rstudio/leaflet@00d02b8)","rstudio/leaflet@00d02b8",TRUE
